"ark","https://arkansas.n.rivals.com/commitments/football/"
"asu","https://arizonastate.n.rivals.com/commitments/football/"
"aub","https://auburn.n.rivals.com/commitments/football/"
"bama","https://alabama.n.rivals.com/commitments/football/"
"bay","https://baylor.n.rivals.com/commitments/football/"
"bc","https://bostoncollege.n.rivals.com/commitments/football/"
"cal","https://cal.n.rivals.com/commitments/football/"
"clem","https://clemson.n.rivals.com/commitments/football/"
"col","https://colorado.n.rivals.com/commitments/football/"
"duke","https://duke.n.rivals.com/commitments/football/"
"fla","https://florida.n.rivals.com/commitments/football/"
"fsu","https://floridastate.n.rivals.com/commitments/football/"
"gt","https://georgiatech.n.rivals.com/commitments/football/"
"ill","https://illinois.n.rivals.com/commitments/football/"
"ind","https://indiana.n.rivals.com/commitments/football/"
"iowa","https://iowa.n.rivals.com/commitments/football/"
"isu","https://iowastate.n.rivals.com/commitments/football/"
"kan","https://kansas.n.rivals.com/commitments/football/"
"ksu","https://kansasstate.n.rivals.com/commitments/football/"
"lsu","https://iowastate.n.rivals.com/commitments/football/"
"mary","https://maryland.n.rivals.com/commitments/football/"
"mia","https://miami.n.rivals.com/commitments/football/"
"mich","https://michigan.n.rivals.com/commitments/football/"
"minn","https://minnesota.n.rivals.com/commitments/football/"
"missst","https://mississippistate.n.rivals.com/commitments/football"
"mizz","https://missouri.n.rivals.com/commitments/football"
"msu","https://michiganstate.n.rivals.com/commitments/football/"
"ncsu","https://ncstate.n.rivals.com/commitments/football/"
"nd","https://notredame.n.rivals.com/commitments/football/"
"neb","https://nebraska.n.rivals.com/commitments/football/"
"nwestern","https://northwestern.n.rivals.com/commitments/football/"
"ok","https://oklahoma.n.rivals.com/commitments/football/"
"okst","https://oklahomastate.n.rivals.com/commitments/football/"
"olemiss","https://olemiss.n.rivals.com/commitments/football"
"ore","https://oregon.n.rivals.com/commitments/football/"
"orest","https://oregonstate.n.rivals.com/commitments/football/"
"osu","https://ohiostate.n.rivals.com/commitments/football/"
"pitt","https://pittsburgh.n.rivals.com/commitments/football/"
"psu","https://bwi.n.rivals.com/commitments/football/"
"purd","https://purdue.n.rivals.com/commitments/football/"
"rut","https://rutgers.n.rivals.com/commitments/football/"
"scar","https://southcarolina.n.rivals.com/commitments/football"
"stan","https://stanford.n.rivals.com/commitments/football/"
"syr","https://syracuse.n.rivals.com/commitments/football/"
"tamu","https://tamu.n.rivals.com/commitments/football"
"tcu","https://tcu.n.rivals.com/commitments/football/"
"tenn","https://tennessee.n.rivals.com/commitments/football"
"tex","https://texas.n.rivals.com/commitments/football/"
"ttu","https://texastech.n.rivals.com/commitments/football/"
"ucla","https://ucla.n.rivals.com/commitments/football/"
"uga","https://uga.n.rivals.com/commitments/football"
"uk","https://kentucky.n.rivals.com/commitments/football"
"ul","https://louisville.n.rivals.com/commitments/football/"
"unc","https://northcarolina.n.rivals.com/commitments/football/"
"usc","https://usc.n.rivals.com/commitments/football/"
"utah","https://utah.n.rivals.com/commitments/football/"
"uva","https://virginia.n.rivals.com/commitments/football"
"van","https://vanderbilt.n.rivals.com/commitments/football"
"vt","https://virginiatech.n.rivals.com/commitments/football/"
"wake","https://wakeforest.n.rivals.com/commitments/football/"
"wash","https://washington.n.rivals.com/commitments/football/"
"wisc","https://wisconsin.n.rivals.com/commitments/football/"
"wsu","https://washingtonstate.n.rivals.com/commitments/football/"
"wva","https://westvirginia.n.rivals.com/commitments/football/"
"zona","https://arizona.n.rivals.com/commitments/football/"
